,All,Bangladeshi,Chinese,Indian,Pakistani,Asian.other,Black,Mixed,White,Arab,Other
All,100,-9,-13,49,58,11,17,-42,99,0,32
Bangladeshi,-9,100,44,-39,-45,-10,65,37,1,39,35
Chinese,-13,44,100,-53,24,-91,61,56,-16,45,4
Indian,49,-39,-53,100,12,25,-61,0,42,2,24
Pakistani,58,-45,24,12,100,-40,28,-41,52,29,29
Asian.other,11,-10,-91,25,-40,100,-31,-61,20,-45,0
Black,17,65,61,-61,28,-31,100,-14,26,54,50
Mixed,-42,37,56,0,-41,-61,-14,100,-48,19,-20
White,99,1,-16,42,52,20,26,-48,100,1,37
Arab,0,39,45,2,29,-45,54,19,1,100,86
Other,32,35,4,24,29,0,50,-20,37,86,100
