"","Virtue","Americans","Argentines","Australians","Austrians","Batswana","Belgians","Brazilians","Burkinabe","Canadians","Chileans","Croatians","Czechs","Danes","English"
"1","Appreciation",1.57493535663019,1.49762325348897,1.57616028762435,1.41878739252488,1.41745979852077,1.52839972898831,1.50678517066463,1.27014044443173,1.54716995858271,1.44388515922336,1.57372136835056,1.1045590954149,1.28576678527265,1.55072713282318
"2","Fairness",1.91739477956938,1.90269427061044,1.87433409144135,1.87556461061325,1.91785039893892,1.86990424921792,1.91002457741365,1.79571746324081,1.91251187380153,1.86553819343703,1.96517424027743,1.69842754023775,1.70127209725032,1.8499784620677
"3","Persistence",1.90870372782846,1.65312426070335,1.83558570261213,1.73931921023837,1.6482743904631,1.77613618749998,1.79231962851431,1.40206407658972,1.79702984770131,1.78583146238511,1.94671338599932,1.16848382814437,1.47763308335824,1.88413711622422
"4","Creativity",1.24203415400352,1.17692287029217,1.20446443286482,1.12698652680207,0.997362012068923,1.1355514890072,1.19812122193944,0.848661006438113,1.22884505887213,1.13850864321435,1.28101773675555,0.684914123325118,0.824553748208176,1.16499791934303
"5","Love",1.29020731868231,1.15796572163504,1.22559944040511,1.20306780952069,1.1297578804288,1.19079588450276,1.25089510462381,0.976267386824621,1.23507871858197,1.22646674368615,1.34238100353599,0.81527579740311,0.966584709552519,1.24880633955679
"6","Self-Regulation",1.10446407071813,1.19809456607974,1.15712598814048,0.946767178399137,1.11503538435422,1.15967905620881,1.17910349830529,1.08931467260755,1.14853573272836,0.9906204725982,1.11202224525195,0.885511041226602,0.959085451237899,1.12200143167848
"7","Gratitude",2.56751784190703,2.16454553696334,2.46414205097197,2.29564319619664,2.08813183849613,2.34872149736082,2.36387302133077,1.71147744038755,2.39674430431368,2.36656569756765,2.6112649663505,1.36346814031079,1.87012860696566,2.52562500510453
"8","Leadership",1.44635025578834,1.30747474219952,1.4120506324561,1.31752437273056,1.28230066654296,1.37127985067634,1.37537207035005,1.12040922751232,1.3873986617062,1.3472337532806,1.46629692962386,0.954775681382872,1.15168321163795,1.42603537959933
"9","Judgment",2.32216164291771,2.12002174813132,2.23438585436852,2.25475811041634,2.17056005626585,2.19029055092029,2.18698036063224,1.93235315552313,2.23392479137382,2.24649530969606,2.36026968689086,1.833091437527,1.98451705727795,2.2446676022407
"10","SocialIntelligence",1.75332382075315,1.68895927679776,1.72577646025797,1.72611249706881,1.80174060534146,1.73206462012267,1.69217101051475,1.68664811879097,1.71896140167431,1.71324875997216,1.76161027869915,1.65729608436523,1.68244858620864,1.7238140674749
"11","Forgiveness",1.88455230781616,1.69906230064422,1.86355456163177,1.7294053117643,1.66220997303024,1.79500525926349,1.72348291850805,1.44767269019295,1.80769028674643,1.74479847311332,1.86651823295973,1.31785815388619,1.56591923257635,1.85180606524678
"12","Spirituality",1.85849648890868,1.90549548678133,1.88166414113147,1.80502683333192,1.94902607508927,1.88838899730405,1.82605860735254,1.87344403034,1.87801426987135,1.78549191945068,1.84388436963228,1.84564429536189,1.81979006391045,1.82547564066124
"13","Teamwork",1.29357456598819,1.13961458630219,1.23680136038067,1.16578588225382,1.13617339862247,1.20947344431632,1.26730687740186,0.980283062990791,1.22502428990257,1.21364199546574,1.34490505246811,0.763285897790121,0.971951570036543,1.28486353657288
"14","Bravery",1.38046124756338,1.18848490551547,1.3549766303841,1.29115740778444,1.21424335113905,1.30161933709924,1.20964282518483,1.03790927781873,1.29656770373434,1.29152272791768,1.35155402621809,0.997463483284231,1.1921729648957,1.35871515801512
"15","Curiosity",3.50544368525934,3.071736247516,3.35571296231456,3.42231580103825,3.15504240072222,3.24636437236051,3.15784597803486,2.72666447925356,3.31821018035535,3.38453010204478,3.52235798444483,2.67469560158962,2.97600974695852,3.36859951367654
"16","Kindness",2.06393052101325,1.84077565769767,2.00456263922421,2.01643640291824,1.87430402994107,1.93481721983387,1.83360831897444,1.6362875058689,1.96968331534328,1.98020949205956,2.04285093187636,1.65483471403165,1.80946076911922,1.98227311578738
"17","Hope",2.15923644569366,2.05119443778132,2.05401357680394,2.12122608013683,2.1261583526388,2.05644904667525,2.16573751168537,1.95146302596786,2.10849991844829,2.12960045700564,2.25893631283146,1.7833434809094,1.83838326623953,2.0877376616125
"18","Integrity",2.43017213170836,2.2849293949307,2.34073650519944,2.35424307740856,2.28982813473291,2.30183681350359,2.35083173143455,2.06463820241767,2.37000645743755,2.35050147347206,2.49401148013584,1.91781300513446,2.03565219227027,2.33774542005895
"19","Perspective",1.34972138671889,1.06942289659633,1.17683098459749,1.34446476210508,1.12932653382769,1.141711150022,1.28671209098358,0.904997797649371,1.22522586735418,1.35956935412077,1.46922364496665,0.753726332916682,0.917079461485417,1.26976121408776
"20","Prudence",2.19320656276936,1.92513088688633,2.09713771954321,2.06637581551459,1.94234382584704,2.03554928715927,2.05109298234521,1.67312437602639,2.07667884242029,2.0890600336021,2.23878287389485,1.48916227327627,1.75404812701108,2.13597839624946
"21","Humor",1.02993060876421,0.908565066016153,1.04483844992809,0.908482480322813,0.89232594611527,0.999664716491526,0.906610974155884,0.769012437237818,0.978050569111455,0.924749296668011,0.987996424913311,0.698305340667055,0.887645219048064,1.03648039414899
"22","Humility",1.32090656218105,1.24616545167894,1.31282772141886,1.19463772809555,1.23938477359643,1.29383946925372,1.29171248263958,1.12467597897527,1.28758795937016,1.22763372815963,1.33357973478899,0.963336136090364,1.11498505363064,1.32096443085551
"23","LoveOfLearning",2.62981110116029,2.49935654764724,2.57670968347243,2.5030579592954,2.44429044484101,2.51565353578079,2.51219133106146,2.20488989130182,2.58072714241257,2.49858400741447,2.6586921445308,2.05312595912209,2.21198277477948,2.53803187772112
"24","Zest",1.71841402036582,1.42096968012069,1.70639672240079,1.54651338135373,1.39773037773044,1.6044109833075,1.43541083487985,1.13878177406234,1.59221076504999,1.55627446220696,1.64715414978438,1.07244080809563,1.42322311431135,1.70130997652257
